Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,FetchSize,WriteSize,DispatchNs,BeginNs,EndNs,CompleteNs
119,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,238,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524946,262144,782277672736196,782277672898483,782277673755969,782277673758855
120,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,240,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524335,5,782277673818345,782277673980301,782277674760344,782277674759435
124,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,248,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524944,262144,782277676825842,782277677012306,782277677870272,782277677872971
125,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,250,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524349,5,782277677931151,782277678095084,782277678878807,782277678877171
129,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,258,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524870,262144,782277680937779,782277681104687,782277681951133,782277681954408
130,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,260,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524354,5,782277682012077,782277682172905,782277682959668,782277682957097
134,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,268,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524852,262144,782277685019905,782277685184108,782277686043994,782277686042874
135,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,270,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524348,5,782277686104434,782277686271847,782277687024208,782277687022794
139,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,278,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524833,262144,782277689088672,782277689254088,782277690102134,782277690100141
140,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,280,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524353,5,782277690159510,782277690328066,782277691101388,782277691099130
144,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,288,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524849,262144,782277693159358,782277693324549,782277694167154,782277694165018
145,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,290,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524342,4,782277694226537,782277694390846,782277695129606,782277695127507
149,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,298,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524919,262144,782277697189835,782277697342226,782277698195685,782277698215265
150,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,300,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524339,5,782277698262564,782277698412649,782277699182586,782277699190824
154,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,308,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524939,262144,782277701254222,782277701407436,782277702262175,782277702269941
155,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,310,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524344,5,782277702333361,782277702483780,782277703235317,782277703242301
159,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,318,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524956,262144,782277705307349,782277705461127,782277706321786,782277706330728
160,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,320,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524345,4,782277706399357,782277706552511,782277707283088,782277707291078
164,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,328,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524869,262144,782277709356106,782277709508418,782277710361397,782277710369235
165,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,330,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524335,5,782277710432074,782277710584282,782277711315178,782277711322595
